CallNumber,UnitID,IncidentNumber,CallType,CallDate,WatchDate,CallFinalDisposition,AvailableDtTm,Address,City,Zipcode,Battalion,StationArea,Box,OriginalPriority,Priority,FinalPriority,ALSUnit,CallTypeGroup,NumAlarms,UnitType,UnitSequenceInCallDispatch,FirePreventionDistrict,SupervisorDistrict,Neighborhood,Location,RowID,Delay
20110019,M36,2003238,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 02:28:30 AM,9TH ST/LARKIN ST,SF,94103,B02,36,2337,1,1,2,true,null,1,MEDIC,1,2,6,South of Market,"(37.7774938436091, -122.41629170277)",020110019-M36,6.116667
20110020,E38,2003239,Outside Fire,01/11/2002,01/10/2002,Other,01/11/2002 02:15:33 AM,3000 Block of WEBSTER ST,SF,94123,B04,16,3462,3,3,3,false,null,1,ENGINE,1,4,2,Marina,"(37.7984543611006, -122.434151287383)",020110020-E38,1.4833333
20110021,E03,2003240,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 02:17:23 AM,300 Block of ELLIS ST,SF,94102,B03,03,1461,3,3,3,false,null,1,ENGINE,1,3,6,Tenderloin,"(37.7850246606887, -122.411971890566)",020110021-E03,2.9333334
20110021,M03,2003240,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 02:21:00 AM,300 Block of ELLIS ST,SF,94102,B03,03,1461,3,3,3,true,null,1,MEDIC,2,3,6,Tenderloin,"(37.7850246606887, -122.411971890566)",020110021-M03,4.4166665
20110022,E42,2003241,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 02:21:10 AM,0 Block of SILVERVIEW DR,SF,94124,B10,42,6495,3,3,3,true,null,1,ENGINE,2,10,10,Bayview Hunters Point,"(37.7337623673897, -122.396113802632)",020110022-E42,4.8333335
20110022,M17,2003241,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 03:01:18 AM,0 Block of SILVERVIEW DR,SF,94124,B10,42,6495,3,3,3,true,null,1,MEDIC,1,10,10,Bayview Hunters Point,"(37.7337623673897, -122.396113802632)",020110022-M17,4.7
20110023,E03,2003242,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 02:30:38 AM,MARKET ST/MCALLISTER ST,SF,94102,B03,01,1455,3,3,3,false,null,1,ENGINE,1,3,6,Tenderloin,"(37.7811772186856, -122.411699931232)",020110023-E03,3.05
20110023,M41,2003242,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 02:39:50 AM,MARKET ST/MCALLISTER ST,SF,94102,B03,01,1455,3,3,3,true,null,1,MEDIC,2,3,6,Tenderloin,"(37.7811772186856, -122.411699931232)",020110023-M41,2.4333334
20110024,E29,2003243,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 02:28:34 AM,400 Block of KANSAS ST,SF,94107,B02,29,2422,3,3,3,false,null,1,ENGINE,2,2,10,Potrero Hill,"(37.7640801201771, -122.403538779847)",020110024-E29,3.9333334
20110024,M29,2003243,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 02:48:59 AM,400 Block of KANSAS ST,SF,94107,B02,29,2422,3,3,3,true,null,1,MEDIC,1,2,10,Potrero Hill,"(37.7640801201771, -122.403538779847)",020110024-M29,3.35
20110025,E07,2003244,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 02:39:58 AM,800 Block of VALENCIA ST,SF,94110,B06,07,5434,3,3,3,false,null,1,ENGINE,2,6,9,Mission,"(37.7589396460618, -122.421244589279)",020110025-E07,3.8666666
20110025,M07,2003244,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 02:40:52 AM,800 Block of VALENCIA ST,SF,94110,B06,07,5434,3,3,3,true,null,1,MEDIC,1,6,9,Mission,"(37.7589396460618, -122.421244589279)",020110025-M07,4.7166667
20110026,B03,2003245,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 03:15:05 AM,2500 Block of MARIPOSA ST,SF,94110,B02,29,5243,3,3,3,false,null,1,CHIEF,3,2,10,Mission,"(37.7631695375953, -122.408796075221)",020110026-B03,1.85
20110026,E29,2003245,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 03:18:13 AM,2500 Block of MARIPOSA ST,SF,94110,B02,29,5243,3,3,3,false,null,1,ENGINE,1,2,10,Mission,"(37.7631695375953, -122.408796075221)",020110026-E29,3.0833333
20110026,T07,2003245,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 03:01:46 AM,2500 Block of MARIPOSA ST,SF,94110,B02,29,5243,3,3,3,false,null,1,TRUCK,2,2,10,Mission,"(37.7631695375953, -122.408796075221)",020110026-T07,3.25
20110027,E28,2003246,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 03:18:05 AM,500 Block of FILBERT ST,SF,94133,B01,28,1265,3,3,3,false,null,1,ENGINE,1,1,3,North Beach,"(37.8013950796063, -122.408729618435)",020110027-E28,3.6666667
20110027,M28,2003246,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 04:09:14 AM,500 Block of FILBERT ST,SF,94133,B01,28,1265,3,3,3,true,null,1,MEDIC,2,1,3,North Beach,"(37.8013950796063, -122.408729618435)",020110027-M28,3.0833333
20110028,E21,2003247,Vehicle Fire,01/11/2002,01/10/2002,Other,01/11/2002 03:55:07 AM,1000 Block of OAK ST,SF,94117,B05,21,4141,3,3,3,false,null,1,ENGINE,1,5,5,Hayes Valley,"(37.7732938420762, -122.436598149618)",020110028-E21,1.8833333
20110029,E08,2003248,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 03:28:28 AM,800 Block of BRYANT ST,SF,94103,B03,08,2255,3,3,3,false,null,1,ENGINE,2,3,6,South of Market,"(37.775420706711, -122.403404791479)",020110029-E08,3.4
20110029,M08,2003248,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 04:02:46 AM,800 Block of BRYANT ST,SF,94103,B03,08,2255,3,3,3,true,null,1,MEDIC,1,3,6,South of Market,"(37.775420706711, -122.403404791479)",020110029-M08,2.45
20110031,E36,2003249,Outside Fire,01/11/2002,01/10/2002,Other,01/11/2002 03:56:54 AM,1600 Block of MISSION ST,SF,94103,B02,36,5116,3,3,3,false,null,1,ENGINE,1,2,6,Mission,"(37.7720141510333, -122.419088601412)",020110031-E36,2.6166666
20110032,E11,2003250,Vehicle Fire,01/11/2002,01/10/2002,Other,01/11/2002 04:16:46 AM,APPLETON AV/MISSION ST,SF,94110,B06,32,5626,3,3,3,false,null,1,ENGINE,1,6,9,Bernal Heights,"(37.7388432849018, -122.423948785199)",020110032-E11,1.5
20110033,E03,2003251,Outside Fire,01/11/2002,01/10/2002,Other,01/11/2002 04:13:10 AM,GOLDEN GATE AV/LARKIN ST,SF,94102,B02,03,1644,3,3,3,false,null,1,ENGINE,1,2,6,Tenderloin,"(37.7814474940022, -122.417145613411)",020110033-E03,2.2833333
20110034,E35,2003252,Outside Fire,01/11/2002,01/10/2002,Other,01/11/2002 04:23:13 AM,BEALE ST/HOWARD ST,SF,94105,B03,35,2124,3,3,3,false,null,1,ENGINE,1,3,6,Financial District/South Beach,"(37.7899262298106, -122.394276229254)",020110034-E35,2.4
20110035,E42,2003253,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 04:31:08 AM,1200 Block of CORTLAND AVE,SF,94110,B10,32,5725,3,3,3,true,null,1,ENGINE,1,10,9,Bernal Heights,"(37.7397966983548, -122.411715561027)",020110035-E42,2.7
20110035,M32,2003253,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 04:59:27 AM,1200 Block of CORTLAND AVE,SF,94110,B10,32,5725,3,3,3,true,null,1,MEDIC,2,10,9,Bernal Heights,"(37.7397966983548, -122.411715561027)",020110035-M32,4.483333
20110036,E42,2003254,Smoke Investigation (Outside),01/11/2002,01/10/2002,Other,01/11/2002 05:12:18 AM,CALL BOX: CAMBRIDGE ST/STONEYBROOK AV,SF,94112,B09,32,5681,3,3,3,true,null,1,ENGINE,1,9,11,Excelsior,"(37.7310405925555, -122.421708125046)",020110036-E42,2.2166667
20110037,E25,2003255,Outside Fire,01/11/2002,01/10/2002,Other,01/11/2002 05:47:57 AM,EVANS AV/TOLAND ST,SF,94124,B10,09,6422,3,3,3,false,null,1,ENGINE,1,10,10,Bayview Hunters Point,"(37.7472623482525, -122.396008614627)",020110037-E25,2.1333334
20110038,B05,2003256,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 05:28:08 AM,400 Block of PARNASSUS AVE,SF,94131,B05,12,5155,3,3,3,false,null,1,CHIEF,1,5,7,Inner Sunset,"(37.7633165969878, -122.458205988587)",020110038-B05,3.5833333
20110038,E12,2003256,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 05:37:27 AM,400 Block of PARNASSUS AVE,SF,94131,B05,12,5155,3,3,3,false,null,1,ENGINE,2,5,7,Inner Sunset,"(37.7633165969878, -122.458205988587)",020110038-E12,3.8333333
20110038,T12,2003256,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 05:29:36 AM,400 Block of PARNASSUS AVE,SF,94131,B05,12,5155,3,3,3,false,null,1,TRUCK,3,5,7,Inner Sunset,"(37.7633165969878, -122.458205988587)",020110038-T12,4.6666665
20110039,M41,2003257,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 06:04:36 AM,400 Block of OFARRELL ST,SF,94102,B01,01,1452,2,2,2,true,null,1,MEDIC,1,3,6,Tenderloin,"(37.7858903312278, -122.411725719434)",020110039-M41,7.85
20110042,E16,2003258,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 06:08:57 AM,BAY ST/OCTAVIA ST,SF,94123,B04,16,3342,3,3,3,false,null,1,ENGINE,1,4,2,Marina,"(37.8035178181736, -122.430044997482)",020110042-E16,2.7833333
20110042,M38,2003258,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 06:05:22 AM,BAY ST/OCTAVIA ST,SF,94123,B04,16,3342,3,3,3,true,null,1,MEDIC,2,4,2,Marina,"(37.8035178181736, -122.430044997482)",020110042-M38,3.5166667
20110043,B04,2003259,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 06:01:58 AM,1400 Block of SUTTER ST,SF,94109,B04,03,3223,3,3,3,false,null,1,CHIEF,2,4,2,Western Addition,"(37.7872890372638, -122.424236212664)",020110043-B04,3.4833333
20110043,E03,2003259,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 06:09:24 AM,1400 Block of SUTTER ST,SF,94109,B04,03,3223,3,3,3,false,null,1,ENGINE,1,4,2,Western Addition,"(37.7872890372638, -122.424236212664)",020110043-E03,2.55
20110043,T03,2003259,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 06:01:58 AM,1400 Block of SUTTER ST,SF,94109,B04,03,3223,3,3,3,false,null,1,TRUCK,3,4,2,Western Addition,"(37.7872890372638, -122.424236212664)",020110043-T03,3.3833334
20110044,E01,2003260,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 06:11:49 AM,0 Block of TURK ST,SF,94102,B03,01,1365,3,3,3,false,null,1,ENGINE,2,3,6,Tenderloin,"(37.7833862379382, -122.409853729941)",020110044-E01,2.4833333
20110044,M01,2003260,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 06:40:32 AM,0 Block of TURK ST,SF,94102,B03,01,1365,3,3,3,true,null,1,MEDIC,1,3,6,Tenderloin,"(37.7833862379382, -122.409853729941)",020110044-M01,2.1333334
20110045,E42,2003261,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 06:29:09 AM,1300 Block of SILVER AVE,SF,94134,B10,42,6356,3,3,3,true,null,1,ENGINE,1,9,9,Portola,"(37.7313928327632, -122.409221235075)",020110045-E42,3.7333333
20110045,M17,2003261,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 07:33:17 AM,1300 Block of SILVER AVE,SF,94134,B10,42,6356,3,3,3,true,null,1,MEDIC,2,9,9,Portola,"(37.7313928327632, -122.409221235075)",020110045-M17,77.333336
20110045,M32,2003261,Medical Incident,01/11/2002,01/10/2002,Other,null,1300 Block of SILVER AVE,SF,94134,B10,42,6356,3,3,3,true,null,1,MEDIC,3,9,9,Portola,"(37.7313928327632, -122.409221235075)",020110045-M32,3.5833333
20110046,E01,2003262,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 06:30:51 AM,SANSOME ST/SUTTER ST,SF,94104,B01,13,1164,3,3,3,false,null,1,ENGINE,1,1,3,Financial District/South Beach,"(37.7902474029119, -122.400555263617)",020110046-E01,4.4
20110046,M13,2003262,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 07:16:55 AM,SANSOME ST/SUTTER ST,SF,94104,B01,13,1164,3,3,3,true,null,1,MEDIC,2,1,3,Financial District/South Beach,"(37.7902474029119, -122.400555263617)",020110046-M13,5.4166665
20110050,B01,2003264,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 06:32:14 AM,400 Block of SANSOME ST,SF,94111,B01,13,1166,3,3,3,false,null,1,CHIEF,1,1,3,Chinatown,"(37.7946419086629, -122.401377352704)",020110050-B01,2.2833333
20110050,E02,2003264,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 06:31:30 AM,400 Block of SANSOME ST,SF,94111,B01,13,1166,3,3,3,false,null,1,ENGINE,2,1,3,Chinatown,"(37.7946419086629, -122.401377352704)",020110050-E02,3.0833333
20110050,T02,2003264,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 06:32:14 AM,400 Block of SANSOME ST,SF,94111,B01,13,1166,3,3,3,false,null,1,TRUCK,3,1,3,Chinatown,"(37.7946419086629, -122.401377352704)",020110050-T02,3.4833333
20110055,M43,2003265,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 08:47:38 AM,700 Block of VISITACION AVE,SF,94134,B09,44,6256,1,1,2,true,null,1,MEDIC,1,9,10,Visitacion Valley,"(37.7111254719262, -122.406576155247)",020110055-M43,6.5
20110056,E25,2003266,Outside Fire,01/11/2002,01/10/2002,Other,01/11/2002 07:10:41 AM,JENNINGS ST/REVERE AV,SF,94124,B10,17,6571,3,3,3,false,null,1,ENGINE,1,10,10,Bayview Hunters Point,"(37.7295427123834, -122.38641847796)",020110056-E25,4.2833333
20110057,B01,2003267,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 07:13:01 AM,2500 Block of VAN NESS AVE,SF,94109,B04,16,3146,3,3,3,false,null,1,CHIEF,1,4,2,Russian Hill,"(37.7990402347578, -122.42390548516)",020110057-B01,2.1666667
20110057,E16,2003267,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 07:15:28 AM,2500 Block of VAN NESS AVE,SF,94109,B04,16,3146,3,3,3,false,null,1,ENGINE,2,4,2,Russian Hill,"(37.7990402347578, -122.42390548516)",020110057-E16,2.9833333
20110057,T16,2003267,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 07:11:57 AM,2500 Block of VAN NESS AVE,SF,94109,B04,16,3146,3,3,3,false,null,1,TRUCK,3,4,2,Russian Hill,"(37.7990402347578, -122.42390548516)",020110057-T16,3.0166667
20110058,E22,2003268,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 07:15:04 AM,2700 Block of LINCOLN WAY,SF,94122,B08,22,7512,3,3,3,false,null,1,ENGINE,1,8,4,Sunset/Parkside,"(37.7649109889038, -122.487428529752)",020110058-E22,6.85
20110058,M18,2003268,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 08:16:06 AM,2700 Block of LINCOLN WAY,SF,94122,B08,22,7512,3,3,3,true,null,1,MEDIC,2,8,4,Sunset/Parkside,"(37.7649109889038, -122.487428529752)",020110058-M18,6.85
20110059,M36,2003269,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 07:23:36 AM,16TH ST/SANCHEZ ST,SF,94114,B05,06,5231,3,3,3,true,null,1,MEDIC,1,5,8,Castro/Upper Market,"(37.7643735105108, -122.430882154098)",020110059-M36,3.2333333
20110060,E36,2003270,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 07:24:53 AM,100 Block of VAN NESS AVE,SF,94102,B02,36,3166,3,3,3,false,null,1,ENGINE,1,2,6,Tenderloin,"(37.7768524577717, -122.419455012102)",020110060-E36,3.95
20110060,M05,2003270,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 08:00:10 AM,100 Block of VAN NESS AVE,SF,94102,B02,36,3166,3,3,3,true,null,1,MEDIC,2,2,6,Tenderloin,"(37.7768524577717, -122.419455012102)",020110060-M05,3.8333333
20110061,M01,2003271,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 07:43:40 AM,0 Block of WASHBURN ST,SF,94103,B02,36,2336,2,2,2,true,null,1,MEDIC,1,2,6,South of Market,"(37.7752362231466, -122.414406294791)",020110061-M01,6.3333335
20110062,M07,2003272,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 08:22:39 AM,100 Block of DIAMOND ST,SF,94114,B05,06,5415,2,2,2,true,null,1,MEDIC,1,6,8,Castro/Upper Market,"(37.7599619000358, -122.437045577764)",020110062-M07,7.016667
20110063,B07,2003273,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 07:25:06 AM,100 Block of JORDAN AVE,SF,94118,B07,10,4452,3,3,3,false,null,1,CHIEF,2,7,2,Presidio Heights,"(37.7826808102254, -122.456790301039)",020110063-B07,3.5166667
20110063,E10,2003273,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 07:25:06 AM,100 Block of JORDAN AVE,SF,94118,B07,10,4452,3,3,3,false,null,1,ENGINE,1,7,2,Presidio Heights,"(37.7826808102254, -122.456790301039)",020110063-E10,3.9666667
20110063,T10,2003273,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 07:25:06 AM,100 Block of JORDAN AVE,SF,94118,B07,10,4452,3,3,3,false,null,1,TRUCK,3,7,2,Presidio Heights,"(37.7826808102254, -122.456790301039)",020110063-T10,2.9
20110066,93,2003274,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 08:21:08 AM,600 Block of VAN NESS AVE,SF,94102,B02,36,3164,2,2,2,false,null,1,MEDIC,1,2,5,Western Addition,"(37.78147394156, -122.42068958116)",020110066-93,9.1
20110067,B03,2003275,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 07:45:59 AM,300 Block of MAIN ST,SF,94105,B03,35,2117,3,3,3,false,null,1,CHIEF,2,3,6,Financial District/South Beach,"(37.7887132628625, -122.39113809089)",020110067-B03,2.2666667
20110067,E35,2003275,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 07:45:59 AM,300 Block of MAIN ST,SF,94105,B03,35,2117,3,3,3,false,null,1,ENGINE,1,3,6,Financial District/South Beach,"(37.7887132628625, -122.39113809089)",020110067-E35,2.9666667
20110067,T08,2003275,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 07:45:39 AM,300 Block of MAIN ST,SF,94105,B03,35,2117,3,3,3,false,null,1,TRUCK,3,3,6,Financial District/South Beach,"(37.7887132628625, -122.39113809089)",020110067-T08,2.7666667
20110068,M17,2003276,Medical Incident,01/11/2002,01/10/2002,Other,01/11/2002 07:52:58 AM,1500 Block of QUESADA AVE,SF,94124,B10,17,6535,1,1,2,true,null,1,MEDIC,1,10,10,Bayview Hunters Point,"(37.7317161358979, -122.388705102774)",020110068-M17,5.983333
20110070,B07,2003277,Structure Fire,01/11/2002,01/10/2002,Other,01/11/2002 08:41:21 AM,1500 Block of 25TH AVE,SF,94122,B08,18,7454,3,3,3,false,null,1,CHIEF,4,8,4,Sunset/Parkside,"(37.7586192328271, -122.483157716813)",020110070-B07,2.2833333
20110070,B08,2003277,Structure Fire,01/11/2002,01/10/2002,Other,01/11/2002 08:40:38 AM,1500 Block of 25TH AVE,SF,94122,B08,18,7454,3,3,3,false,null,1,CHIEF,2,8,4,Sunset/Parkside,"(37.7586192328271, -122.483157716813)",020110070-B08,3.0333333
20110070,D2,2003277,Structure Fire,01/11/2002,01/10/2002,Other,01/11/2002 08:15:42 AM,1500 Block of 25TH AVE,SF,94122,B08,18,7454,3,3,3,false,null,1,CHIEF,11,8,4,Sunset/Parkside,"(37.7586192328271, -122.483157716813)",020110070-D2,5.4166665
20110070,E20,2003277,Structure Fire,01/11/2002,01/10/2002,Other,01/11/2002 08:08:20 AM,1500 Block of 25TH AVE,SF,94122,B08,18,7454,3,3,3,false,null,1,ENGINE,7,8,4,Sunset/Parkside,"(37.7586192328271, -122.483157716813)",020110070-E20,5.0833335
20110070,E22,2003277,Structure Fire,01/11/2002,01/10/2002,Other,01/11/2002 08:47:17 AM,1500 Block of 25TH AVE,SF,94122,B08,18,7454,3,3,3,false,null,1,ENGINE,1,8,4,Sunset/Parkside,"(37.7586192328271, -122.483157716813)",020110070-E22,1.8666667
20110070,E23,2003277,Structure Fire,01/11/2002,01/10/2002,Other,01/11/2002 08:58:04 AM,1500 Block of 25TH AVE,SF,94122,B08,18,7454,3,3,3,false,null,1,ENGINE,10,8,4,Sunset/Parkside,"(37.7586192328271, -122.483157716813)",020110070-E23,2.8666666
20110070,E40,2003277,Structure Fire,01/11/2002,01/10/2002,Other,01/11/2002 08:53:28 AM,1500 Block of 25TH AVE,SF,94122,B08,18,7454,3,3,3,true,null,1,ENGINE,6,8,4,Sunset/Parkside,"(37.7586192328271, -122.483157716813)",020110070-E40,1.7
20110070,M12,2003277,Structure Fire,01/11/2002,01/10/2002,Other,01/11/2002 08:13:18 AM,1500 Block of 25TH AVE,SF,94122,B08,18,7454,3,3,3,true,null,1,MEDIC,3,8,4,Sunset/Parkside,"(37.7586192328271, -122.483157716813)",020110070-M12,1.8666667
20110070,RC2,2003277,Structure Fire,01/11/2002,01/10/2002,Other,01/11/2002 08:07:12 AM,1500 Block of 25TH AVE,SF,94122,B08,18,7454,3,3,3,true,null,1,RESCUE CAPTAIN,9,8,4,Sunset/Parkside,"(37.7586192328271, -122.483157716813)",020110070-RC2,8.183333
20110070,RS2,2003277,Structure Fire,01/11/2002,01/10/2002,Other,01/11/2002 08:05:50 AM,1500 Block of 25TH AVE,SF,94122,B08,18,7454,3,3,3,false,null,1,RESCUE SQUAD,12,8,4,Sunset/Parkside,"(37.7586192328271, -122.483157716813)",020110070-RS2,2.7333333
20110070,T12,2003277,Structure Fire,01/11/2002,01/10/2002,Other,01/11/2002 08:18:38 AM,1500 Block of 25TH AVE,SF,94122,B08,18,7454,3,3,3,false,null,1,TRUCK,8,8,4,Sunset/Parkside,"(37.7586192328271, -122.483157716813)",020110070-T12,5.983333
20110070,T18,2003277,Structure Fire,01/11/2002,01/10/2002,Other,01/11/2002 08:52:02 AM,1500 Block of 25TH AVE,SF,94122,B08,18,7454,3,3,3,false,null,1,TRUCK,5,8,4,Sunset/Parkside,"(37.7586192328271, -122.483157716813)",020110070-T18,2.6333334
20110071,E38,2003278,Alarms,01/11/2002,01/10/2002,Other,01/11/2002 08:01:38 AM,2500 Block of PACIFIC AVE,SF,94115,B04,38,3653,3,3,3,false,null,1,ENGINE,1,4,2,Pacific Heights,"(37.7929775957715, -122.437190625728)",020110071-E38,3
20110072,E35,2003279,Structure Fire,01/11/2002,01/11/2002,Other,01/11/2002 08:03:26 AM,BEALE ST/FOLSOM ST,SF,94105,B03,35,2122,3,3,3,false,null,1,ENGINE,1,3,6,Financial District/South Beach,"(37.7886866619654, -122.392722833778)",020110072-E35,1.1333333
20110072,T08,2003279,Structure Fire,01/11/2002,01/11/2002,Other,01/11/2002 08:03:26 AM,BEALE ST/FOLSOM ST,SF,94105,B03,35,2122,3,3,3,false,null,1,TRUCK,2,3,6,Financial District/South Beach,"(37.7886866619654, -122.392722833778)",020110072-T08,1.75
